CCLE.sampleid	CCLE.name	CCLE.depMapID	CCLE.site_Primary	CCLE.site_Subtype1	CCLE.site_Subtype2	CCLE.site_Subtype3	CCLE.histology	CCLE.histology_Subtype1	CCLE.histology_Subtype2	CCLE.histology_Subtype3	CCLE.gender	CCLE.age	CCLE.race	CCLE.disease	CCLE.type
DMS53_LUNG	DMS 53	ACH-000698	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	54	caucasian	lung_cancer	lung_small_cell
SW1116_LARGE_INTESTINE	SW1116	ACH-000489	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	73	caucasian		colorectal
NCIH1694_LUNG	NCI-H1694	ACH-000431	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	61	caucasian		lung_small_cell
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P3HR-1	ACH-000707	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	male	7	african_american	Burkitts lymphoma	lymphoma_Burkitt
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HuT 78	ACH-000509	haematopoietic_and_lymphoid_tissue	skin	NS	NS	lymphoid_neoplasm	mycosis_fungoides-Sezary_syndrome	NS	NS	male	53	caucasian	sezary_syndrome	lymphoma_other
UMUC3_URINARY_TRACT	UM-UC-3	ACH-000522	urinary_tract	bladder	NS	NS	carcinoma	transitional_cell_carcinoma	NS	NS	male			bladder_cancer	urinary_tract
HOS_BONE	HOS	ACH-000613	bone	NS	NS	NS	osteosarcoma	NS	NS	NS	female	13	caucasian		osteosarcoma
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HuNS1	ACH-000829	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS	male			myeloma	multiple_myeloma
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML-193	ACH-000557	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	female	13			AML
RVH421_SKIN	RVH-421	ACH-000614	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male	28	caucasian		melanoma
NCIH1184_LUNG	NCI-H1184	ACH-000523	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	42	caucasian		lung_small_cell
HCC2157_BREAST	HCC2157	ACH-000691	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	48	african_american	ductal_carcinoma	breast
TC71_BONE	TC-71	ACH-000424	bone	NS	NS	NS	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	NS	NS	male	22		Ewings_sarcoma	Ewings_Sarcoma
NCIH2227_LUNG	NCI-H2227	ACH-000610	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	54	caucasian		lung_small_cell
COLO205_LARGE_INTESTINE	COLO 205	ACH-001039	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	70	caucasian	colon_cancer	colorectal
SNU449_LIVER	SNU-449	ACH-000420	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male	52	asian	hepatocellular_cancer	liver
NCIH28_PLEURA	NCI-H28	ACH-000648	pleura	NS	NS	NS	mesothelioma	NS	NS	NS	male	48	caucasian		mesothelioma
OV56_OVARY	OV56	ACH-000091	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female	46			ovary
JHOS4_OVARY	JHOS-4	ACH-000584	ovary	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	44	asian		ovary
KYSE450_OESOPHAGUS	KYSE-450	ACH-000865	oesophagus	middle_third	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	59	asian	well differentiated invasive eosphageal squamous cell carcinoma	esophagus
RMUGS_OVARY	RMUG-S	ACH-000701	ovary	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	62			ovary
KLE_ENDOMETRIUM	KLE	ACH-000293	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	64	caucasian		endometrium
HS895T_FIBROBLAST	Hs 895.T	ACH-000043	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	female	48	caucasian		melanoma
LN229_CENTRAL_NERVOUS_SYSTEM	LN-229	ACH-000595	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	female	60	caucasian		glioma
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31/FUJ	ACH-000770	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	male		asian		AML
RKN_SOFT_TISSUE	RKN	ACH-000505	soft_tissue	smooth_muscle	ovary	NS	leiomyosarcoma	NS	NS	NS	female	45	asian		ovary
PATU8988S_PANCREAS	PA-TU-8988S	ACH-000022	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	64			pancreas
NH6_AUTONOMIC_GANGLIA	NH-6	ACH-000203	autonomic_ganglia	NS	NS	NS	neuroblastoma	NS	NS	NS	female	0.75		neuroblastoma	neuroblastoma
SF126_CENTRAL_NERVOUS_SYSTEM	SF126	ACH-000609	central_nervous_system	brain	NS	NS	glioma	astrocytoma	NS	NS					glioma
RERFLCAD2_LUNG	RERF-LC-Ad2	ACH-000774	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		asian		lung_NSC
OUMS23_LARGE_INTESTINE	OUMS-23	ACH-000296	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS					colorectal
SNGM_ENDOMETRIUM	SNG-M	ACH-000974	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	52	asian	intermediately differentiated adenocarcinoma	endometrium
OUMS27_BONE	OUMS-27	ACH-001150	bone	NS	NS	NS	chondrosarcoma	NS	NS	NS	male				chondrosarcoma
PL45_PANCREAS	PL45	ACH-001171	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male		caucasian		pancreas
NCIH2347_LUNG	NCI-H2347	ACH-000875	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	54	caucasian	lung_cancer	lung_NSC
SW1990_PANCREAS	SW 1990	ACH-000155	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male	56	caucasian		pancreas
HS940T_FIBROBLAST	Hs 940.T	ACH-000135	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male	57	caucasian		melanoma
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 611.T	ACH-000069	haematopoietic_and_lymphoid_tissue	spleen	NS	NS	lymphoid_neoplasm	Hodgkin_lymphoma	NS	NS	female	48			lymphoma_Hodgkin
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Toledo	ACH-000285	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	NS	NS	female		caucasian		lymphoma_DLBCL
RERFGC1B_STOMACH	RERF-GC-1B	ACH-000144	stomach	NS	NS	NS	carcinoma	NS	NS	NS	male	41	asian		stomach
HT1080_SOFT_TISSUE	HT-1080	ACH-000054	soft_tissue	fibrous_tissue_and_uncertain_origin	NS	NS	fibrosarcoma	NS	NS	NS	male	35	caucasian	fibrosarcoma_cancer	soft_tissue
NCIH2087_LUNG	NCI-H2087	ACH-000841	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	69	caucasian	lung_cancer	lung_NSC
COV318_OVARY	COV318	ACH-000256	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female				ovary
NCIH2085_LUNG	NCI-H2085	ACH-000451	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	45			lung_NSC
NCIH510_LUNG	NCI-H510	ACH-000871	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	56	caucasian		lung_small_cell
CAKI1_KIDNEY	Caki-1	ACH-000433	kidney	NS	NS	NS	carcinoma	clear_cell_renal_cell_carcinoma	NS	NS	male	49	caucasian	clear_cell_carcinoma	kidney
NCIH716_LARGE_INTESTINE	NCI-H716	ACH-000491	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	33	caucasian		colorectal
NCIH2066_LUNG	NCI-H2066	ACH-000727	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female	70	caucasian		lung_small_cell
NCIH1341_LUNG	NCI-H1341	ACH-000129	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female				lung_small_cell
NCIH2029_LUNG	NCI-H2029	ACH-000298	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female	69	caucasian		lung_small_cell
C3A_LIVER	C3A	ACH-001021	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male	15	caucasian		liver
SW480_LARGE_INTESTINE	SW480	ACH-000842	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	50	caucasian	colon_cancer	colorectal
HS746T_STOMACH	Hs 746T	ACH-000616	stomach	NS	NS	NS	carcinoma	NS	NS	NS	male	74	caucasian		stomach
LU65_LUNG	LU65	ACH-000438	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS	male	64	asian	lung_cancer	lung_NSC
HS739T_FIBROBLAST	Hs 739.T	ACH-000413	breast	NS	NS	NS	carcinoma	NS	NS	NS	female	52	asian		breast
SNUC2A_LARGE_INTESTINE	SNU-C2A	ACH-000967	large_intestine	caecum	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	43	asian		colorectal
HEC151_ENDOMETRIUM	HEC-151	ACH-000972	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		asian		endometrium
MSTO211H_PLEURA	MSTO-211H	ACH-000335	pleura	NS	NS	NS	mesothelioma	NS	NS	NS	male	62	caucasian	lung_cancer	mesothelioma
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Raji	ACH-000654	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	male	12	african	lymphoma	lymphoma_Burkitt
SKMEL1_SKIN	SK-MEL-1	ACH-000465	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male	29	caucasian		melanoma
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUP-T1	ACH-000953	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	NS	NS	male	8	caucasian		T-cell_ALL
JHH7_LIVER	JHH-7	ACH-000848	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male	53	asian		liver
